"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000175602",251.087281854266,4.84529741759611,0.586753768681708,8.25780365839372,1.48377359426085e-16,5.64201843569765e-14
"ENSG00000005007",136.200297045105,3.11552530943369,0.3780271266048,8.24153900651355,1.70009488500911e-16,6.35946062270481e-14
"ENSG00000139211",216.520216954809,2.34255693861172,0.284824467485053,8.2245635682077,1.95902872806063e-16,7.21079294224557e-14
"ENSG00000166501",3393.27796441482,2.43072318942061,0.295729810418048,8.21940536188929,2.04514674146725e-16,7.46803187102444e-14
"ENSG00000158457",3920.51154945015,3.32001106923612,0.404840548551994,8.20078690514303,2.38818541760939e-16,8.51786132280681e-14
"ENSG00000126934",116.723368099984,2.49257997009718,0.30482909612875,8.17697523547552,2.91057800982467e-16,1.02225720787811e-13
"ENSG00000261614",20.6091123453556,4.85930584222538,0.59763084981727,8.13094880177478,4.25943231141601e-16,1.46251104961381e-13
"ENSG00000198858",1983.93185386559,2.83774646558865,0.349628897908684,8.11645285204604,4.80007080913694e-16,1.61907667178415e-13
"ENSG00000259330",1676.47236761495,2.92531673674803,0.360441569453539,8.11592497830663,4.82098465625794e-16,1.61907667178415e-13
"ENSG00000139597",365.655453809988,2.09083608830552,0.258058587577705,8.10217597457762,5.39847786511991e-16,1.77417118981548e-13
"ENSG00000072422",741.448494245967,2.91643425499315,0.360992039543124,8.07894339909609,6.53303388736339e-16,2.13180772452191e-13
"ENSG00000023902",1614.59334004511,2.47805670573505,0.30681604201469,8.0766855913499,6.65508435050097e-16,2.15634106314472e-13
"ENSG00000108840",371.37163891162,3.4529949154436,0.427830968618637,8.0709326082506,6.97632177146468e-16,2.24461933360203e-13
"ENSG00000119280",1356.14722865097,2.91069643589242,0.361106507137015,8.06049289714962,7.59874283113041e-16,2.41115970800214e-13
"ENSG00000272325",16.4894593971554,5.18329386475094,0.644743516336282,8.03931134384213,9.03447629946571e-16,2.84709763382478e-13
"ENSG00000148426",238.021583962545,3.27429438714296,0.4076242939767,8.03262817139678,9.54064816652296e-16,2.98615797375321e-13
"ENSG00000171161",151.940958276007,3.02766063243717,0.378285113812276,8.00364730698772,1.20787031270913e-15,3.72980624749981e-13
"ENSG00000105329",2034.61550461711,4.91741137179178,0.614472130786057,8.00265972274648,1.21760077138066e-15,3.73478743274829e-13
"ENSG00000175582",1578.28044128267,2.65082096868278,0.331532787438539,7.99565252403339,1.28889408648487e-15,3.92728588868669e-13
"ENSG00000175221",191.039604863663,3.07693424373295,0.386277894727757,7.96559752895394,1.64427290136171e-15,4.97717080208239e-13
"ENSG00000185989",1391.66376399294,2.84720998658676,0.358460228874732,7.94288949578768,1.97524907094637e-15,5.90137725676899e-13
"ENSG00000157978",1867.76839757839,2.86188942728746,0.360487829640136,7.93893494308643,2.0392469241161e-15,6.0532742566827e-13
"ENSG00000157837",675.032316332073,2.16186397230964,0.273970194124008,7.89087287112373,3.00080219196469e-15,8.52264869458613e-13
"ENSG00000064726",264.599394712736,3.03069333207921,0.385660745261075,7.8584439026263,3.88934834645186e-15,1.08453889345606e-12
"ENSG00000072778",210.761798332904,2.13878033640561,0.2723857920475,7.85202605586945,4.09369413421022e-15,1.11450217227818e-12
"ENSG00000068383",157.480463345341,3.14532344616625,0.400667911863363,7.85020051028912,4.15372641683498e-15,1.12419383787399e-12
"ENSG00000175166",416.766294212739,2.16789921468608,0.276552349592964,7.83901933169918,4.54078646517815e-15,1.22176365650788e-12
"ENSG00000141759",151.338848192791,2.62481475523558,0.334891855829366,7.83779811167751,4.58515424519871e-15,1.22652876059065e-12
"ENSG00000088826",3405.83183326323,2.60454565199637,0.332574860427302,7.83145679938038,4.82249057782432e-15,1.27510364454936e-12
"ENSG00000013016",2026.28684636683,2.94992750027579,0.377204559244982,7.82049799763927,5.26147692622401e-15,1.3600031088515e-12
"ENSG00000116685",155.35519354759,2.70435516569465,0.346229843970905,7.81086671985997,5.67960500753857e-15,1.44374931710967e-12
"ENSG00000050393",1766.89717617028,2.76467423634381,0.354128075303244,7.80698969991685,5.85700544153026e-15,1.48066384815828e-12
"ENSG00000092929",918.32450356152,3.34752788813374,0.429246864047838,7.79860767430247,6.25939322953505e-15,1.56437415589564e-12
"ENSG00000272449",21.5044091820351,4.20984098483961,0.540166106012588,7.79360448199153,6.51241829860558e-15,1.61094820386475e-12
"ENSG00000087460",15252.0218175407,2.41103416077873,0.3095396615517,7.78909606831123,6.74902787108058e-15,1.66054958475089e-12
"ENSG00000123739",1536.83679647298,2.58529833162682,0.332474409021223,7.77593180551168,7.4894047323299e-15,1.80412309808638e-12
"ENSG00000122490",78.4447763600021,3.13955543054847,0.404229217368167,7.76677017804234,8.05127358650585e-15,1.92937030059966e-12
"ENSG00000186716",494.441099459312,3.02898463740642,0.390492984752206,7.75682215988723,8.70839105133807e-15,2.07602628120241e-12
"ENSG00000175416",68.9953518619922,2.44519136742149,0.315816153838602,7.74245185909999,9.75177016853175e-15,2.30091766899562e-12
"ENSG00000188986",44.992481905553,3.61906292753875,0.467481800753686,7.74161244716693,9.81638229636764e-15,2.30434566048916e-12
"ENSG00000198833",1400.68832497592,2.40739427694662,0.312019482680276,7.71552550586548,1.20484762272761e-14,2.75796214535809e-12
"ENSG00000060138",871.123253865949,2.70886390852368,0.351349420628448,7.70988579881083,1.25930374822474e-14,2.86834482454555e-12
"ENSG00000014216",2312.13765886973,3.11543924292386,0.405348058904211,7.68583733038197,1.51999540441541e-14,3.44507332793858e-12
"ENSG00000277763",42.2449671939206,3.1428684536061,0.409007515884026,7.68413374217128,1.54035683314338e-14,3.47410872024153e-12
"ENSG00000167674",34.7192712195058,3.44933136754229,0.450194838792372,7.66186342072463,1.83254468846781e-14,4.07912455689681e-12
"ENSG00000185963",1633.1187649731,3.15620857844158,0.412662532623785,7.64840112421599,2.03493594713092e-14,4.45844775845208e-12
"ENSG00000175470",287.280583607129,2.57595946007655,0.337645032549482,7.62919401072202,2.36225909795584e-14,5.10270145995063e-12
